"REF_DATE","GEO","DGUID","North American Industry Classification System (NAICS)","Performances and attendance, not-for-profit","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016","Nova Scotia","2016A000212","Performing arts companies [7111]","Average attendance per performance","Number","223","units","0","v107579213","4.1.3","272","","","","0"
"2016","New Brunswick","2016A000213","Performing arts companies [7111]","Total performances","Number","223","units","0","v107579214","5.1.1","490","","","","0"
"2016","New Brunswick","2016A000213","Performing arts companies [7111]","Total attendance","Number","223","units","0","v107579215","5.1.2","80262","","","","0"
"2016","New Brunswick","2016A000213","Performing arts companies [7111]","Average attendance per performance","Number","223","units","0","v107579216","5.1.3","164","","","","0"
"2016","Quebec","2016A000224","Performing arts companies [7111]","Total performances","Number","223","units","0","v107579217","6.1.1","10185","","","","0"
"2016","Quebec","2016A000224","Performing arts companies [7111]","Total attendance","Number","223","units","0","v107579218","6.1.2","3711278","","","","0"
"2016","Quebec","2016A000224","Performing arts companies [7111]","Average attendance per performance","Number","223","units","0","v107579219","6.1.3","364","","","","0"
"2016","Ontario","2016A000235","Performing arts companies [7111]","Total performances","Number","223","units","0","v107579220","7.1.1","10883","","","","0"
"2016","Ontario","2016A000235","Performing arts companies [7111]","Total attendance","Number","223","units","0","v107579221","7.1.2","3638004","","","","0"
"2016","Ontario","2016A000235","Performing arts companies [7111]","Average attendance per performance","Number","223","units","0","v107579222","7.1.3","334","","","","0"
"2016","Manitoba","2016A000246","Performing arts companies [7111]","Total performances","Number","223","units","0","v107579223","8.1.1","1419","","","","0"
"2016","Manitoba","2016A000246","Performing arts companies [7111]","Total attendance","Number","223","units","0","v107579224","8.1.2","689145","","","","0"
"2016","Manitoba","2016A000246","Performing arts companies [7111]","Average attendance per performance","Number","223","units","0","v107579225","8.1.3","486","","","","0"
"2016","Saskatchewan","2016A000247","Performing arts companies [7111]","Total performances","Number","223","units","0","v107579226","9.1.1","1178","","","","0"
"2016","Saskatchewan","2016A000247","Performing arts companies [7111]","Total attendance","Number","223","units","0","v107579227","9.1.2","303803","","","","0"
"2016","Saskatchewan","2016A000247","Performing arts companies [7111]","Average attendance per performance","Number","223","units","0","v107579228","9.1.3","258","","","","0"
"2016","Alberta","2016A000248","Performing arts companies [7111]","Total performances","Number","223","units","0","v107579229","10.1.1","4985","","","","0"
"2016","Alberta","2016A000248","Performing arts companies [7111]","Total attendance","Number","223","units","0","v107579230","10.1.2","1361194","","","","0"
"2016","Alberta","2016A000248","Performing arts companies [7111]","Average attendance per performance","Number","223","units","0","v107579231","10.1.3","273","","","","0"
"2016","British Columbia","2016A000259","Performing arts companies [7111]","Total performances","Number","223","units","0","v107579232","11.1.1","7208","","","","0"
"2016","British Columbia","2016A000259","Performing arts companies [7111]","Total attendance","Number","223","units","0","v107579233","11.1.2","1794783","","","","0"
"2016","British Columbia","2016A000259","Performing arts companies [7111]","Average attendance per performance","Number","223","units","0","v107579234","11.1.3","249","","","","0"
"2016","Yukon","2016A000260","Performing arts companies [7111]","Total performances","Number","223","units","0","v107579235","12.1.1","","x","","","0"
"2016","Yukon","2016A000260","Performing arts companies [7111]","Total attendance","Number","223","units","0","v107579236","12.1.2","","x","","","0"
"2016","Yukon","2016A000260","Performing arts companies [7111]","Average attendance per performance","Number","223","units","0","v107579237","12.1.3","","x","","","0"
"2016","Northwest Territories","2016A000261","Performing arts companies [7111]","Total performances","Number","223","units","0","v107579238","13.1.1","","..","","","0"
"2016","Northwest Territories","2016A000261","Performing arts companies [7111]","Total attendance","Number","223","units","0","v107579239","13.1.2","","..","","","0"
"2016","Northwest Territories","2016A000261","Performing arts companies [7111]","Average attendance per performance","Number","223","units","0","v107579240","13.1.3","","..","","","0"
"2016","Nunavut","2016A000262","Performing arts companies [7111]","Total performances","Number","223","units","0","v107579241","14.1.1","0","","","","0"
"2016","Nunavut","2016A000262","Performing arts companies [7111]","Total attendance","Number","223","units","0","v107579242","14.1.2","0","","","","0"
"2016","Nunavut","2016A000262","Performing arts companies [7111]","Average attendance per performance","Number","223","units","0","v107579243","14.1.3","","..","","","0"
